Year,UNITID,INTUTIONFEE,OUTTUTIONFEE,BOOKSUPPLY,ONCAMROOM,ONCAMOTHEXP,OFFCAMROOM,OFFCAMOTHEXP,Total,AllocProportion,SampleSize,ActualProportion,SelectionProb,SamplingWeight
2016,100751,10470,26950,1200,13050,4116,13050,4116,1368,0.25,125,0.25,0.091374269,10.944
2016,100858,10696,28840,1200,12898,5664,12898,5664,1368,0.25,125,0.25,0.091374269,10.944
2016,101453,9792,9792,1000,4140,2628,10503,3456,1368,0.25,125,0.25,0.091374269,10.944
2016,102298,12340,12340,1370,6504,2100,3200,2100,1368,0.25,125,0.25,0.091374269,10.944
2016,106412,6898,12988,1000,7372,2848,4426,3888,1368,0.25,125,0.25,0.091374269,10.944
2016,110097,36696,36696,1764,10560,3222,10560,3222,1368,0.25,125,0.25,0.091374269,10.944
2016,110680,13645,40327,1541,12545,4508,10131,5621,1368,0.25,125,0.25,0.091374269,10.944
2016,112260,50945,50945,1200,15740,1500,12492,4158,1368,0.25,125,0.25,0.091374269,10.944
2016,117627,31590,31590,1791,8100,3168,12492,4536,1368,0.25,125,0.25,0.091374269,10.944
2016,118541,35884,35884,1828,14412,2756,12138,2824,1368,0.25,125,0.25,0.091374269,10.944
2016,120403,44020,44020,1400,14258,2950,11800,2950,1368,0.25,125,0.25,0.091374269,10.944
2016,122612,44494,44494,1600,13990,3800,13990,3800,1368,0.25,125,0.25,0.091374269,10.944
2016,127741,8888,20474,1350,10770,2610,9692,3212,1368,0.25,125,0.25,0.091374269,10.944
2016,133881,40446,40446,1200,13610,3000,13610,3000,1368,0.25,125,0.25,0.091374269,10.944
2016,133979,15536,15536,2300,6734,3800,10000,4800,1368,0.25,125,0.25,0.091374269,10.944
2016,134079,33150,33150,1244,10680,2626,10680,2626,1368,0.25,125,0.25,0.091374269,10.944
2016,136950,46520,46520,1250,14450,5000,11720,4912,1368,0.25,125,0.25,0.091374269,10.944
2016,137777,13250,13250,900,8000,4500,11000,6000,1368,0.25,125,0.25,0.091374269,10.944
2016,141574,11732,33764,952,13030,2899,13030,2899,1368,0.25,125,0.25,0.091374269,10.944
2016,146481,44116,44116,1000,9810,2074,9810,2074,1368,0.25,125,0.25,0.091374269,10.944
2016,146676,17700,17700,1240.255694,7100,5514,6078,5514,1368,0.25,125,0.25,0.091374269,10.944
2016,147776,10138,18514,2400,11100,6489,6588,6489,1368,0.25,125,0.25,0.091374269,10.944
2016,147828,33940,33940,1000,7900,2700,11660,1000,1368,0.25,125,0.25,0.091374269,10.944
2016,151351,10388,34246,1290,10041,3090,10041,3090,1368,0.25,125,0.25,0.091374269,10.944
2016,151786,31500,31500,1200,9720,3748,8222,3892,1368,0.25,125,0.25,0.091374269,10.944
2016,152318,46210,46210,1500,13293,1500,13293,1500,1368,0.25,125,0.25,0.091374269,10.944
2016,153603,8219,21583,995,8356,2430,8356,2430,1368,0.25,125,0.25,0.091374269,10.944
2016,153825,31525,31525,1100,7700,2011,7700,2011,1368,0.25,125,0.25,0.091374269,10.944
2016,155070,15990,15990,1600,8400,3000,8400,3000,1368,0.25,125,0.25,0.091374269,10.944
2016,156286,39750,39750,792,11820,5432,11820,5432,1368,0.25,125,0.25,0.091374269,10.944
2016,157535,19600,19600,2500,9100,6500,9100,6500,1368,0.25,125,0.25,0.091374269,10.944
2016,157748,17916,17916,1700,6400,1500,2460,1500,1368,0.25,125,0.25,0.091374269,10.944
2016,160621,8080,15430,1220,8003,3386,9073,3971,1368,0.25,125,0.25,0.091374269,10.944
2016,162760,36540,36540,1200,12200,3100,11240,3100,1368,0.25,125,0.25,0.091374269,10.944
2016,164720,37272,37272,960,12850,3200,5842,6554,1368,0.25,125,0.25,0.091374269,10.944
2016,165662,42908,42908,1150,16320,2137,15750,2137,1368,0.25,125,0.25,0.091374269,10.944
2016,165699,31312,31312,1252,14500,2072,10970,2072,1368,0.25,125,0.25,0.091374269,10.944
2016,167057,44755,44755,700,13900,2734,13900,2734,1368,0.25,125,0.25,0.091374269,10.944
2016,167783,38590,38590,1280,14500,2550,14500,2550,1368,0.25,125,0.25,0.091374269,10.944
2016,169248,12150,23670,1000,9406,938,7346,938,1368,0.25,125,0.25,0.091374269,10.944
2016,169716,39882,39882,880,9158,3654,9514,5448,1368,0.25,125,0.25,0.091374269,10.944
2016,171492,25130,25130,1250,9880,2838,9116,4208,1368,0.25,125,0.25,0.091374269,10.944
2016,172644,12519,26470,1196,9874,2018,9134,5754,1368,0.25,125,0.25,0.091374269,10.944
2016,173452,13980,13980,800,5510,4300,5510,4300,1368,0.25,125,0.25,0.091374269,10.944
2016,174914,39594,39594,1000,10100,2746,8700,2746,1368,0.25,125,0.25,0.091374269,10.944
2016,176406,10600,10600,1300,6400,2900,5700,3000,1368,0.25,125,0.25,0.091374269,10.944
2016,176664,13400,13400,840,7280,2800,5000,2800,1368,0.25,125,0.25,0.091374269,10.944
2016,179159,40726,40726,1200,10640,3448,10640,3448,1368,0.25,125,0.25,0.091374269,10.944
2016,181215,6844,12268,1316,9944,3674,9944,3674,1368,0.25,125,0.25,0.091374269,10.944
2016,181297,16837,16837,1300,10054,2856,12700,4152,1368,0.25,125,0.25,0.091374269,10.944
2016,181738,22538,22538,1000,6800,3620,8600,3920,1368,0.25,125,0.25,0.091374269,10.944
2016,184603,37988,37988,1230,12998,2856,10575,2856,1368,0.25,125,0.25,0.091374269,10.944
2016,185129,11430,20458,1200,12446,4500,12446,4500,1368,0.25,125,0.25,0.091374269,10.944
2016,186584,39258,39258,1000,13108,2000,13108,3200,1368,0.25,125,0.25,0.091374269,10.944
2016,190983,41900,41900,600,12000,550,2500,550,1368,0.25,125,0.25,0.091374269,10.944
2016,192192,29451,29451,1300,11190,3480,10230,3660,1368,0.25,125,0.25,0.091374269,10.944
2016,192819,35210,35210,1000,14650,1900,13250,2425,1368,0.25,125,0.25,0.091374269,10.944
2016,193016,18392,18392,1524,13500,3032,8096,3348,1368,0.25,125,0.25,0.091374269,10.944
2016,193292,29100,29100,1470,14250,3864,9436,9804,1368,0.25,125,0.25,0.091374269,10.944
2016,193973,30950,30950,1050,12700,1450,9400,4750,1368,0.25,125,0.25,0.091374269,10.944
2016,195128,28805,28805,1200,12420,1900,7000,3275,1368,0.25,125,0.25,0.091374269,10.944
2016,195216,51200,51200,750,13190,900,6750,900,1368,0.25,125,0.25,0.091374269,10.944
2016,196097,8999,26239,900,12882,1868,12900,5336,1368,0.25,125,0.25,0.091374269,10.944
2016,197197,43980,43980,822,13260,2313,13260,2313,1368,0.25,125,0.25,0.091374269,10.944
2016,197647,11800,11800,200,3600,3800,13474,3800,1368,0.25,125,0.25,0.091374269,10.944
2016,197911,29052,29052,1200,9634,4400,9634,4400,1368,0.25,125,0.25,0.091374269,10.944
2016,198136,30050,30050,1600,10760,4000,10760,4000,1368,0.25,125,0.25,0.091374269,10.944
2016,198507,4889,17860,362,7479,1000,7479,1500,1368,0.25,125,0.25,0.091374269,10.944
2016,198561,29810,29810,1300,9780,2260,5400,2600,1368,0.25,125,0.25,0.091374269,10.944
2016,198808,25648,25648,550,10392,5040,10392,7290,1368,0.25,125,0.25,0.091374269,10.944
2016,199148,6971,21833,956,9934,2224,8744,2536,1368,0.25,125,0.25,0.091374269,10.944
2016,199157,6132,18590,1500,9636,4267,9636,4667,1368,0.25,125,0.25,0.091374269,10.944
2016,199193,8880,26399,1082,10635,2442,10635,2442,1368,0.25,125,0.25,0.091374269,10.944
2016,199865,33970,33970,850,10250,3990,10250,3990,1368,0.25,125,0.25,0.091374269,10.944
2016,201195,30776,30776,1582,8748,3540,8882,5122,1368,0.25,125,0.25,0.091374269,10.944
2016,202480,40940,40940,1000,12680,1750,12680,1750,1368,0.25,125,0.25,0.091374269,10.944
2016,203128,33040,33040,700,10190,2367,9184,2711,1368,0.25,125,0.25,0.091374269,10.944
2016,203517,10012,18376,1200,10720,3582,10720,3582,1368,0.25,125,0.25,0.091374269,10.944
2016,206613,5842,14462,1392,9674,2500,9674,2500,1368,0.25,125,0.25,0.091374269,10.944
2016,207041,6279,15399,1600,5350,3010,8002,5948,1368,0.25,125,0.25,0.091374269,10.944
2016,207582,25676,25676,1848,8540,3696,9765,3696,1368,0.25,125,0.25,0.091374269,10.944
2016,209409,27930,27930,900,8650,2340,8650,2520,1368,0.25,125,0.25,0.091374269,10.944
2016,209612,41054,41054,1050,11822,1680,11822,1680,1368,0.25,125,0.25,0.091374269,10.944
2016,211088,40920,40920,1500,13500,1100,18325,1100,1368,0.25,125,0.25,0.091374269,10.944
2016,211352,30588,30588,1200,12500,1700,10000,1700,1368,0.25,125,0.25,0.091374269,10.944
2016,212160,10074,10640,1000,11219,2550,11219,2550,1368,0.25,125,0.25,0.091374269,10.944
2016,212984,29750,29750,1080,14500,906,10062,1328,1368,0.25,125,0.25,0.091374269,10.944
2016,213303,25798,25798,200,10352,4350,8000,4350,1368,0.25,125,0.25,0.091374269,10.944
2016,214713,14828,22834,1840,11230,4788,11230,4788,1368,0.25,125,0.25,0.091374269,10.944
2016,214786,13666,20546,1840,11230,4788,11230,4788,1368,0.25,125,0.25,0.091374269,10.944
2016,215114,25246,25246,1040,9583,1948,10390,1948,1368,0.25,125,0.25,0.091374269,10.944
2016,216047,20655,20655,1200,13315,4000,6300,1000,1368,0.25,125,0.25,0.091374269,10.944
2016,216366,37950,37950,1600,12560,3910,12560,4152,1368,0.25,125,0.25,0.091374269,10.944
2016,217235,30746,30746,1500,12672,2000,6700,2409,1368,0.25,125,0.25,0.091374269,10.944
2016,217961,17000,17000,1350,10300,4550,10300,6100,1368,0.25,125,0.25,0.091374269,10.944
2016,219383,27160,27160,950,7140,3535,8630,3935,1368,0.25,125,0.25,0.091374269,10.944
2016,219949,21210,21210,1400,7220,5680,7690,6440,1368,0.25,125,0.25,0.091374269,10.944
2016,230728,7426,20492,810,6570,3770,7880,3770,1368,0.25,125,0.25,0.091374269,10.944
2016,231581,32590,32590,1150,11920,2280,9300,3060,1368,0.25,125,0.25,0.091374269,10.944
2016,232265,24242,24242,1100,10684,2800,11700,4500,1368,0.25,125,0.25,0.091374269,10.944
2016,234137,7880,7880,800,8520,6129,8520,6129,1368,0.25,125,0.25,0.091374269,10.944
2016,235097,6951,23343,900,10941,3180,10941,3180,1368,0.25,125,0.25,0.091374269,10.944
2016,236328,46552,46552,1000,11800,2300,11800,2300,1368,0.25,125,0.25,0.091374269,10.944
2016,237312,29900,29900,1800,9100,2600,9200,2400,1368,0.25,125,0.25,0.091374269,10.944
2016,237783,16100,16100,800,7480,3000,7000,3000,1368,0.25,125,0.25,0.091374269,10.944
2016,237932,7038,14394,1646,9120,4326,6640,4843,1368,0.25,125,0.25,0.091374269,10.944
2016,238430,28212,28212,700,7940,4992,6517,5332,1368,0.25,125,0.25,0.091374269,10.944
2016,238458,30388,30388,1078,9264,2402,6718,4790,1368,0.25,125,0.25,0.091374269,10.944
2016,239105,38470,38470,1008,11440,2567,12160,4840,1368,0.25,125,0.25,0.091374269,10.944
2016,240107,26150,26150,1000,8510,2500,8510,2500,1368,0.25,125,0.25,0.091374269,10.944
2016,240338,27984,27984,700,9620,2146,6568,5666,1368,0.25,125,0.25,0.091374269,10.944
2016,240444,10488,32738,1200,10446,3096,10446,3096,1368,0.25,125,0.25,0.091374269,10.944
