UNITID,Year,INTUTIONFEE,OUTTUTIONFEE,BOOKSUPPLY,ONCAMROOM,ONCAMOTHEXP,OFFCAMROOM,OFFCAMOTHEXP
100654,2016,9366,17496,1600,8830,3090,8830,3090
100663,2016,8040,18368,1200,11682,4886,11682,4886
100706,2016,9842,20612,1688,9603,3578,9603,3578
100724,2016,9220,16156,1600,5422,3392,7320,4228
100751,2016,10470,26950,1200,13050,4116,13050,4116
100830,2016,9640,20710,1100,5650,3690,9657,3690
100858,2016,10696,28840,1200,12898,5664,12898,5664
101189,2016,20130,20130,1800,7230,4200,8000,4700
101453,2016,9792,9792,1000,4140,2628,10503,3456
101480,2016,7500,14700,1596,7128,4908,9296,7416
101587,2016,8876,16162,1200,7122,3006,7122,3006
101693,2016,21400,21400,1630,9600,4718,9600,4718
101709,2016,12040,24310,1020,8980,3180,8980,3180
101879,2016,8114,14450,1500,7284,2800,7284,2800
101912,2016,16720,16720,1500,12000,6370,12000,6370
102049,2016,29402,29402,1000,9830,4664,9850,5498
102094,2016,7548,14796,1260,8591,4150,8591,4150
102234,2016,35798,35798,1500,12690,2870,15602,3870
102298,2016,12340,12340,1370,6504,2100,3200,2100
102368,2016,8260,15484,1129,6528,3189,5815,5227
102377,2016,20015,20015,1603,9320,5735,9320,5735
102553,2016,5784,17990,1608,10868,6838,11728,7568
102614,2016,5976,18184,1400,8530,2650,12080,4250
102632,2016,6732,18040,1400,9200,2048,10870,3715
102669,2016,20310,20310,1220,7260,4900,15060,4160
104151,2016,10370,26470,1103,11386,3404,9216,4708
104179,2016,11789,34987,800,11300,3300,11300,5800
104586,2016,33826,33826,1400,10228,4458,10228,4458
104717,2016,17050,17050,800,8550,5700,8550,5700
105330,2016,10764,24144,1000,9872,4850,9262,5070
105589,2016,28943,28943,1400,8374,1272,5106,1272
106245,2016,8061,19499,1715,9578,3804,9406,5213
106397,2016,8820,23168,1046,10332,4104,10332,4104
106412,2016,6898,12988,1000,7372,2848,4426,3888
106458,2016,8200,14260,1137,8540,4131,8910,5202
106467,2016,6624,11880,1410,7204,2996,12634,4766
106485,2016,7210,13060,1200,6338,3600,6750,4950
106704,2016,8224,14447,1200,6248,5471,7054,5471
107044,2016,18635,18635,1200,6760,2414,6760,2414
107071,2016,8340,15180,1600,6888,4278,6932,5678
107080,2016,42440,42440,1100,11580,3000,8772,3000
107141,2016,25324,25324,800,8840,2850,2500,2850
107983,2016,8196,11856,1600,6560,5435,6915,6939
108092,2016,5390,12038,1605,8242,2963,9256,4307
108232,2016,21252,21252,1790,14912,3280,12492,4270
109785,2016,36120,36120,1792,9492,3170,12494,4158
110097,2016,36696,36696,1764,10560,3222,10560,3222
110361,2016,31372,31372,1790,8210,3166,12370,4158
110370,2016,45466,45466,1500,12220,3450,10670,4160
110404,2016,47577,47577,1323,14100,2874,12492,4158
110413,2016,39793,39793,1791,13060,3268,12492,4258
110422,2016,9075,20235,1848,12507,2646,12507,2646
110486,2016,6857,18017,1898,13968,2854,13780,2924
110495,2016,6728,17888,1500,9482,2116,10900,2516
110510,2016,6610,17770,1791,12966,2253,13770,2658
110529,2016,7067,18227,1650,14514,2316,12588,2716
110538,2016,7040,18200,1792,12536,2478,11360,2478
110547,2016,6423,17583,1764,12790,2248,12888,2870
110556,2016,6313,17473,1792,9386,2254,12492,2658
110565,2016,6560,17720,1898,15342,2854,13882,2924
110574,2016,6564,17724,1500,14184,2574,13884,2706
110583,2016,6460,17620,1898,12398,2854,12910,2934
110592,2016,6383,17543,1898,12860,2854,13882,2924
110608,2016,6587,17747,1600,10272,2030,11358,2182
110617,2016,6900,18060,1792,13916,2254,12492,2658
110635,2016,13509,40191,1262,16389,4804,10549,5162
110644,2016,14046,40728,1601,14838,4482,8606,5665
110653,2016,13360,40042,1766,13429,4375,9814,5383
110662,2016,12920,39602,1636,15069,4431,10667,5140
110671,2016,13581,40263,1716,14607,4487,9008,5317
110680,2016,13645,40327,1541,12545,4508,10131,5621
110705,2016,14073,40755,1431,14015,5653,9855,6105
110714,2016,13539,40221,1470,15217,5182,10296,5972
111081,2016,45646,45646,2590,11363,7200,16000,7200
111948,2016,48710,48710,1500,14368,2000,12268,4100
112075,2016,32780,32780,1700,9830,3340,12400,4340
112084,2016,29550,29550,1791,10974,3368,12492,4358
112260,2016,50945,50945,1200,15740,1500,12492,4158
112394,2016,19096,19096,1791,12415,3318,12492,4308
113698,2016,43400,43400,1790,13650,3170,4968,4286
114813,2016,29320,29320,1854,8060,2403,13293,4239
115728,2016,37074,37074,1791,12434,3304,12492,4292
115755,2016,7209,18369,1660,12638,2444,12638,2444
117104,2016,14138,14138,1791,7608,3268,12492,4258
117140,2016,39900,39900,1791,12890,3268,12492,4258
117168,2016,28950,28950,1792,13290,3293,12492,4283
117575,2016,14245,14245,1791,11774,2590,13694,3240
117627,2016,31590,31590,1791,8100,3168,12492,4536
117751,2016,31970,31970,1792,10300,2332,12492,2916
117946,2016,44480,44480,1791,13015,3168,12492,4158
118541,2016,35884,35884,1828,14412,2756,12138,2824
118888,2016,45635,45635,1514,13528,2020,12492,3290
119173,2016,37722,37722,1900,11451,5382,12298,5382
120166,2016,8720,8720,1210,9200,2750,12000,2800
120184,2016,33268,33268,1844,13258,4474,12916,4914
120254,2016,51070,51070,1250,14460,2662,.,.
120403,2016,44020,44020,1400,14258,2950,11800,2950
120537,2016,30550,30550,1791,9550,3255,12492,4245
120865,2016,28629,28629,1791,7920,3168,12492,4158
120883,2016,44588,44588,1791,12858,3168,12492,4158
121150,2016,50022,50022,1500,14330,2500,14330,2500
121309,2016,33500,33500,1790,9950,3166,12492,4158
121691,2016,46570,46570,1775,13480,3168,12492,4156
122409,2016,7084,18244,1818,14812,2880,12050,3296
